Personas;Estatus dentro de la familia Espadero Paredes;País
Álvaro de Paredes;1;1
Juan Tejado;2;2
Martín de Jirapu;3;2
Hernando de Mexía;2;2
Cristóbal de Barrionuevo;3;2
Gutierre Espadero;1;2
Juana de Paredes;4;2
No conocido;99;99
