Source; Target
1; 30
2; 30
3; 30
4; 30
5; 30
6; 30
7; 30
8; 30
9; 30
10; 30
4; 18
5; 18
6; 18
7; 18
10; 18
9; 18
2; 18
1; 18
11; 18
8; 18
12; 18
11; 30
13; 30
26; 30
14; 30
15; 30
16; 30
17; 30
18; 30
19; 30
20; 30
21; 30
22; 30
23; 30
24; 30
25; 30
18; 9
18; 29
26; 1
18; 30
18; 30
18; 30
27; 30
28; 30
18; 30
